date,state,district,pincode,bio_age_5_17,bio_age_17_
25-09-2025,Tamil Nadu,Krishnagiri,635119,0,1
25-09-2025,Tamil Nadu,Krishnagiri,635201,7,5
26-09-2025,Tamil Nadu,Krishnagiri,635104,10,7
26-09-2025,Tamil Nadu,Krishnagiri,635111,2,2
26-09-2025,Tamil Nadu,Krishnagiri,635115,7,10
26-09-2025,Tamil Nadu,Krishnagiri,635117,6,11
26-09-2025,Tamil Nadu,Krishnagiri,635121,7,6
26-09-2025,Tamil Nadu,Krishnagiri,635122,3,4
26-09-2025,Tamil Nadu,Krishnagiri,635124,0,3
26-09-2025,Tamil Nadu,Krishnagiri,635203,13,6
26-09-2025,Tamil Nadu,Krishnagiri,635204,2,5
09-10-2025,Tamil Nadu,Krishnagiri,635002,24,2
09-10-2025,Tamil Nadu,Krishnagiri,635102,5,19
09-10-2025,Tamil Nadu,Krishnagiri,635109,57,25
09-10-2025,Tamil Nadu,Krishnagiri,635113,22,14
09-10-2025,Tamil Nadu,Krishnagiri,635120,22,7
09-10-2025,Tamil Nadu,Krishnagiri,635203,37,21
09-10-2025,Tamil Nadu,Krishnagiri,635207,11,11
09-10-2025,Tamil Nadu,Krishnagiri,635304,14,6
09-10-2025,Tamil Nadu,Krishnagiri,635306,8,12
16-09-2025,Tamil Nadu,Krishnagiri,635002,2,5
16-09-2025,Tamil Nadu,Krishnagiri,635115,5,7
16-09-2025,Tamil Nadu,Krishnagiri,635118,0,5
16-09-2025,Tamil Nadu,Krishnagiri,635121,4,8
16-09-2025,Tamil Nadu,Krishnagiri,635126,2,4
16-09-2025,Tamil Nadu,Krishnagiri,635201,3,4
16-09-2025,Tamil Nadu,Krishnagiri,635304,2,9
16-09-2025,Tamil Nadu,Krishnagiri,636902,2,1
14-09-2025,Tamil Nadu,Krishnagiri,635107,0,1
14-09-2025,Tamil Nadu,Krishnagiri,635124,1,0
17-09-2025,Tamil Nadu,Krishnagiri,635001,5,24
17-09-2025,Tamil Nadu,Krishnagiri,635102,1,1
17-09-2025,Tamil Nadu,Krishnagiri,635110,1,5
17-09-2025,Tamil Nadu,Krishnagiri,635119,6,4
17-09-2025,Tamil Nadu,Krishnagiri,635122,2,8
17-09-2025,Tamil Nadu,Krishnagiri,635123,5,5
17-09-2025,Tamil Nadu,Krishnagiri,635124,1,1
20-09-2025,Tamil Nadu,Krishnagiri,635105,2,5
20-09-2025,Tamil Nadu,Krishnagiri,635113,9,7
20-09-2025,Tamil Nadu,Krishnagiri,635114,2,2
20-09-2025,Tamil Nadu,Krishnagiri,635115,6,1
